[ 2014-03-21T10:40:02+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ app_begin ] --START--
[ 2014-03-21T10:40:02+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Run ReadHtmlCache Behavior [ RunTime:0.012557s ]
[ 2014-03-21T10:40:02+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ app_begin ] --END-- [ RunTime:0.012831s ]
[ 2014-03-21T10:40:02+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
[ 2014-03-21T10:40:02+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | NOTIC: [2] mysql_select_db(): supplied argument is not a valid MySQL-Link resource SessionDb.class.php 第 61 行.
[ 2014-03-21T10:40:02+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | NOTIC: [2] mysql_query(): supplied argument is not a valid MySQL-Link resource SessionDb.class.php 第 91 行.
[ 2014-03-21T10:40:02+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ view_template ] --START--
[ 2014-03-21T10:40:02+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Run LocationTemplate Behavior [ RunTime:0.006257s ]
[ 2014-03-21T10:40:02+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ view_template ] --END-- [ RunTime:0.006480s ]
[ 2014-03-21T10:40:02+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ view_parse ] --START--
[ 2014-03-21T10:40:03+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Run ParseTemplate Behavior [ RunTime:0.075915s ]
[ 2014-03-21T10:40:03+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ view_parse ] --END-- [ RunTime:0.076213s ]
[ 2014-03-21T10:40:03+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ view_filter ] --START--
[ 2014-03-21T10:40:03+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Run ContentReplace Behavior [ RunTime:0.003880s ]
[ 2014-03-21T10:40:03+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Run TokenBuild Behavior [ RunTime:0.004631s ]
[ 2014-03-21T10:40:03+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003348s ]
[ 2014-03-21T10:40:03+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Run ShowRuntime Behavior [ RunTime:0.003404s ]
[ 2014-03-21T10:40:03+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ view_filter ] --END-- [ RunTime:0.016087s ]
[ 2014-03-21T10:40:03+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ view_end ] --START--
[ 2014-03-21T10:40:03+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Run ShowPageTrace Behavior [ RunTime:0.003504s ]
[ 2014-03-21T10:40:03+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ view_end ] --END-- [ RunTime:0.003723s ]
[ 2014-03-21T10:40:45+08:00 ] /tp_test/ | INFO: Tag[ app_begin ] --START--
[ 2014-03-21T10:40:45+08:00 ] /tp_test/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001635s ]
[ 2014-03-21T10:40:45+08:00 ] /tp_test/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001995s ]
[ 2014-03-21T10:40:45+08:00 ] /tp_test/ | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
[ 2014-03-21T10:40:45+08:00 ] /tp_test/ | NOTIC: [2] mysql_select_db(): supplied argument is not a valid MySQL-Link resource SessionDb.class.php 第 61 行.
[ 2014-03-21T10:40:45+08:00 ] /tp_test/ | NOTIC: [2] mysql_query(): supplied argument is not a valid MySQL-Link resource SessionDb.class.php 第 91 行.
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Tag[ view_template ] --START--
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Run LocationTemplate Behavior [ RunTime:0.006476s ]
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.006820s ]
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Tag[ view_parse ] --START--
