[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000063s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000210s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.005077s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Tag[ view_end ] --START--
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000727s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000828s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Tag[ app_begin ] --START--
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001531s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001706s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | NOTIC: [2] mysql_select_db() expects parameter 2 to be resource, boolean given SessionDb.class.php 第 61 行.
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | NOTIC: [2] mysql_query() expects parameter 2 to be resource, null given SessionDb.class.php 第 91 行.
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_template ] --START--
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.078704s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.078981s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_parse ] --START--
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.030623s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.030800s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_filter ] --START--
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000985s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000827s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000564s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000875s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003612s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_template ] --START--
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000468s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_template ] --END-- [ RunTime:-0.034972s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_parse ] --START--
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.020271s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.004757s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_filter ] --START--
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000228s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000170s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000033s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000216s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.021584s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_end ] --START--
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001141s ]
[ 2014-04-21T11:21:30+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001296s ]
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | INFO: Tag[ app_begin ] --START--
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001341s ]
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001619s ]
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | NOTIC: [2] mysql_select_db() expects parameter 2 to be resource, boolean given SessionDb.class.php 第 61 行.
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | NOTIC: [2] mysql_query() expects parameter 2 to be resource, null given SessionDb.class.php 第 91 行.
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_template ] --START--
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001049s ]
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001185s ]
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_parse ] --START--
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.014565s ]
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014712s ]
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_filter ] --START--
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000764s ]
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000868s ]
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000596s ]
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000869s ]
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003458s ]
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_end ] --START--
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000748s ]
[ 2014-04-21T11:22:47+08:00 ] /bai_kuai/Index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000855s ]
